ID,优先纳入,PC,role,value
2BT22060700004,FIRST,2,Contaminating,-0.582256
2BT22060700004,FIRST,3,Contaminating,0.383219
2BT22060700004,FIRST,4,Contaminating,-0.154433
2BT22060700005,FIRST,1,Contaminating,-0.0370645
2BT22060700005,FIRST,2,Contaminating,-0.0264947
2BT22060700005,FIRST,3,Contaminating,-0.0375031
2BT22060700005,FIRST,4,Contaminating,0.0882268
2BT22060700006,FIRST,1,Contaminating,-0.347408
2BT22060700006,FIRST,2,Contaminating,-0.20528
2BT22060700006,FIRST,3,Contaminating,0.614371
2BT22060700006,FIRST,4,Contaminating,0.966138
2BT22060700007,FIRST,1,Contaminating,-0.00946946
2BT22060700007,FIRST,2,Contaminating,-0.0277691
2BT22060700007,FIRST,3,Contaminating,0.0193056
2BT22060700007,FIRST,4,Contaminating,0.0414927
2BT22060700008,FIRST,1,Contaminating,-0.00417758
2BT22060700008,FIRST,2,Contaminating,-0.0182115
2BT22060700008,FIRST,3,Contaminating,-0.0369993
2BT22060700008,FIRST,4,Contaminating,-0.00241752
2BT22060700009,FIRST,1,Contaminating,-0.0119697
2BT22060700009,FIRST,2,Contaminating,-0.0478126
2BT22060700009,FIRST,3,Contaminating,-0.000338798
2BT22060700009,FIRST,4,Contaminating,0.0237371
2BT22060700010,FIRST,1,Contaminating,-0.00315469
2BT22060700010,FIRST,2,Contaminating,0.0227039
2BT22060700010,FIRST,3,Contaminating,0.0616374
2BT22060700010,FIRST,4,Contaminating,0.0515292
2BT22060700011,FIRST,1,Contaminating,-0.00915935
2BT22060700011,FIRST,2,Contaminating,-0.0424347
2BT22060700011,FIRST,3,Contaminating,-0.0260638
2BT22060700011,FIRST,4,Contaminating,0.0494255
2BT22060700012,FIRST,1,Contaminating,-0.00728324
2BT22060700012,FIRST,2,Contaminating,-0.00971677
2BT22060700012,FIRST,3,Contaminating,0.0108382
2BT22060700012,FIRST,4,Contaminating,0.00100621
2BT22060700013,FIRST,1,Contaminating,-0.0263953
2BT22060700013,FIRST,2,Contaminating,-0.0183938
2BT22060700013,FIRST,3,Contaminating,-0.0269772
2BT22060700013,FIRST,4,Contaminating,0.0124545
2BT22060700014,FIRST,1,Contaminating,-0.00294039
2BT22060700014,FIRST,2,Contaminating,-0.020365
2BT22060700014,FIRST,3,Contaminating,-0.0274371
2BT22060700014,FIRST,4,Contaminating,0.0184291
2BT22060700015,FIRST,1,Contaminating,-0.0187505
2BT22060700015,FIRST,2,Contaminating,-0.0178377
2BT22060700015,FIRST,3,Contaminating,0.011651
2BT22060700015,FIRST,4,Contaminating,-0.0053433
2BT22060700016,FIRST,1,Contaminating,0.0019238
2BT22060700016,FIRST,2,Contaminating,-0.0315021
2BT22060700016,FIRST,3,Contaminating,-0.0488138
2BT22060700016,FIRST,4,Contaminating,0.0398787
2BT22060700017,FIRST,1,Contaminating,-0.0064832
2BT22060700017,FIRST,2,Contaminating,-0.021796
2BT22060700017,FIRST,3,Contaminating,-0.0205817
2BT22060700017,FIRST,4,Contaminating,0.0365187
2BT22060700018,FIRST,1,Contaminating,-0.0130635
2BT22060700018,FIRST,2,Contaminating,-0.0308879
2BT22060700018,FIRST,3,Contaminating,-0.00874047
2BT22060700018,FIRST,4,Contaminating,0.00994575
